ml_edge_min,ml_edge_max,favorites_only,rolling_weight_7,rating_cap_low,rating_cap_high,w_rolling_off,w_woba,w_xwoba,w_k_off,w_bb_off,w_rolling_pit,w_fip,w_xfip,w_k_pit,w_bb_pit,rolling_weight_15,n_bets,win_rate,roi,profit
0.05,1.0,False,0.8,0.65,1.6,0.37499999999999994,0.25,0.0,0.125,0.25,0.24999999999999994,0.16666666666666666,0.24999999999999994,0.24999999999999994,0.08333333333333333,0.19999999999999996,4854,0.4584,-5.5871,-27119.78
0.06,1.0,False,0.7,0.6,1.4,0.4285714285714286,0.28571428571428575,0.0,0.14285714285714288,0.14285714285714288,0.1,0.3,0.1,0.3,0.2,0.30000000000000004,4182,0.4524,-5.7333,-23976.86
0.05,1.0,False,0.8,0.6,1.4,0.22222222222222227,0.33333333333333337,0.0,0.22222222222222227,0.22222222222222227,0.3,0.2,0.1,0.1,0.3,0.19999999999999996,4519,0.4459,-5.9158,-26733.29
0.05,1.0,False,0.8,0.65,1.6,0.16666666666666669,0.33333333333333337,0.0,0.33333333333333337,0.16666666666666669,0.27272727272727276,0.27272727272727276,0.27272727272727276,0.09090909090909093,0.09090909090909093,0.19999999999999996,4228,0.4354,-6.0601,-25621.98
0.06,0.08,True,0.8,0.65,1.3,0.375,0.375,0.0,0.12500000000000003,0.12500000000000003,0.375,0.25000000000000006,0.12500000000000003,0.12500000000000003,0.12500000000000003,0.19999999999999996,411,0.5596,-6.0637,-2492.17
0.07,0.08,False,0.8,0.7,1.6,0.2727272727272727,0.18181818181818182,0.0,0.2727272727272727,0.2727272727272727,0.08333333333333334,0.25,0.25,0.16666666666666669,0.25,0.19999999999999996,406,0.4384,-6.2765,-2548.26
0.06,1.0,False,0.5,0.65,1.3,0.22222222222222227,0.33333333333333337,0.0,0.22222222222222227,0.22222222222222227,0.2142857142857143,0.2142857142857143,0.2142857142857143,0.14285714285714288,0.2142857142857143,0.5,3400,0.4232,-6.576,-22358.5
0.07,1.0,False,0.8,0.7,1.3,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.33333333333333326,0.25,0.25,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.19999999999999996,3331,0.4254,-6.8288,-22746.84
0.07,0.1,True,0.5,0.6,1.3,0.4285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.5,553,0.5479,-8.3348,-4609.14
0.06,0.08,True,0.6,0.65,1.4,0.14285714285714288,0.14285714285714288,0.0,0.28571428571428575,0.4285714285714286,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.4,357,0.5238,-9.6744,-3453.76
0.07,0.08,True,0.6,0.6,1.3,0.33333333333333326,0.1111111111111111,0.0,0.2222222222222222,0.33333333333333326,0.18181818181818185,0.18181818181818185,0.27272727272727276,0.18181818181818185,0.18181818181818185,0.4,172,0.5116,-12.9335,-2224.56
